gender,event,indians_bettered
men,200 metres,2
men,800 metres,6
men,1500 metres,4
men,5000 metres,0
men,10000 metres,1
men,400 metres hurdles,5
men,3000 metres steeplechase,2
men,Long jump,3
men,Triple jump,2
men,50 kilometres race walk,0
men,100 metres,0
men,400 metres,2
men,High jump,1
men,Pole vault,0
men,Shot put,2
men,Discus throw,1
men,Hammer throw,0
men,Javelin throw,2
men,20 kilometres race walk,5
men,Marathon,0
men,110 metres hurdles,1
men,Decathlon,0
women,1500 metres,4
women,5000 metres,0
women,10000 metres,0
women,400 metres hurdles,0
women,Long jump,3
women,Heptathlon,3
women,Discus throw,2
women,100 metres,0
women,200 metres,4
women,400 metres,3
women,800 metres,0
women,3000 metres steeplechase,2
women,High jump,0
women,Pole vault,0
women,Triple jump,1
women,Shot put,1
women,Hammer throw,2
women,Javelin throw,1
women,20 kilometres race walk,2
women,Marathon,0
women,100 metres hurdles,0
